cars_posta_cities_FK,cars_posta_PK
374,98520
373,99001
372,98001
371,98524
370,98601
369,98221
368,98303
367,98603
366,98223
365,99402
363,98001
363,98002
363,98092
362,98110
361,98224
360,98604
359,98004
358,98528
357,98004
357,98005
357,98006
357,98007
357,98008
357,98027
355,98225
355,98226
355,98229
354,99320
353,98605
352,98010
352,98042
351,98230
350,98391
348,98011
348,98012
348,98021
348,98034
348,98036
348,98072
347,98232
346,98310
346,98311
346,98312
346,98337
346,98370
346,98380
345,98812
344,98812
343,98036
342,98320
341,98606
340,98321
339,98530
338,99323
337,98146
337,98148
337,98166
337,98168
336,98233
335,98282
334,98607
333,98323
332,98014
331,98610
330,98815
329,98611
328,98612
326,98531
325,99003
324,98532
323,98816
322,99004
321,99109
320,98325
319,98533
318,98326
317,99403
316,99110
315,98922
314,98236
313,98004
312,99005
311,99324
310,99113
309,99114
308,98237
307,99326
306,98537
305,99115
304,99116
303,98239
302,98042
301,98923
300,99118
299,98538
298,99119
297,98240
296,98617
295,98241
294,99122
293,99328
291,99006
290,98244
289,98032
289,98148
289,98198
288,98327
287,98019
East 17,98802
285,98925
284,98245
283,98328
282,98371
282,98372
281,98020
281,98026
280,98330
278,99009
277,98926
275,98541
274,99330
273,98822
272,98022
271,98823
270,99126
269,98201
269,98203
269,98204
269,98208
268,98247
267,98024
266,98001
266,98003
266,98023
265,98248
264,98424
263,98466
262,98331
261,98333
260,98249
259,98250
257,98329
257,98332
257,98335
256,98251
255,98620
254,98338
253,99133
251,98930
250,98932
249,98252
248,98546
247,98547
246,99016
245,98253
244,98340
243,98816
242,98548
241,98550
240,99137
239,98004
238,98672
237,98624
236,98256
235,98342
235,98370
234,98006
234,98027
234,98029
234,98059
233,98433
232,98625
231,98344
230,98626
229,98028
228,99336
228,99337
228,99338
227,98030
227,98031
227,98032
227,98038
227,98042
227,98058
227,98092
225,99141
224,98345
223,98346
223,98370
222,98004
222,98011
222,98033
222,98034
222,98052
221,98934
220,98629
219,98257
218,98503
218,98513
218,98516
217,98155
216,98258
215,98391
214,98349
213,98498
213,98499
212,98260
211,98826
210,99019
209,98555
208,98631
207,98351
206,98632
205,99148
204,98261
203,98635
202,98264
201,98036
201,98037
201,98087
200,98935
199,98828
198,98830
197,98831
196,98266
195,98010
195,98027
195,98038
195,98051
194,98620
193,98270
193,98271
192,99349
191,98833
190,98557
189,98557
188,99021
187,99022
186,98039
185,98040
184,99343
183,99023
182,98012
180,98354
179,98355
178,98272
177,98563
176,98356
175,98837
174,98564
173,98273
173,98274
172,98043
171,98901
171,98936
170,98275
169,98937
168,98640
167,98565
165,98638
164,98357
163,98006
163,98056
163,98059
162,99025
161,99156
159,99026
158,98358
157,98148
157,98166
157,98198
156,98045
155,98639
154,98277
153,98568
152,98640
151,98569
150,99159
149,98840
148,98359
147,98279
145,98501
145,98502
145,98503
145,98506
145,98512
145,98513
145,98516
144,98841
143,98570
142,98843
141,98844
140,98360
137,99344
136,99027
135,98938
133,98571
134,98047
132,98361
131,99161
130,98939
129,98446
128,99301
127,98846
126,98847
125,98281
124,99347
123,98362
123,98363
122,98339
121,98365
120,98366
120,98367
119,98368
118,98370
118,98392
117,98027
116,99350
115,99163
114,98371
114,98372
114,98373
114,98374
114,98375
113,98376
112,98848
111,98576
110,98051
109,98577
108,98033
108,98052
108,98053
108,98072
107,98027
107,98038
107,98042
107,98055
107,98056
107,98057
107,98058
107,98059
106,99166
105,99352
105,99354
104,98642
103,99169
102,98849
100,98579
99,98850
98,99030
97,98940
96,99170
95,98941
94,98580
93,99357
92,98407
91,98581
90,98029
90,98053
90,98074
90,98075
89,98583
88,98380
87,98032
87,98148
87,98168
87,98188
87,98198
86,98101
86,98102
86,98103
86,98104
86,98105
86,98106
86,98107
86,98108
86,98109
86,98112
86,98115
86,98116
86,98117
86,98118
86,98119
86,98121
86,98122
86,98125
86,98126
86,98133
86,98134
86,98136
86,98144
86,98146
86,98155
86,98166
86,98168
86,98177
86,98178
86,98199
84,98284
83,98284
82,98942
80,98382
79,98286
78,98584
77,98020
77,98133
77,98155
77,98177
76,98311
76,98315
76,98383
75,98645
74,98647
73,98288
72,98290
72,98296
69,98045
69,98068
71,98024
71,98065
68,98851
67,98577
66,98373
66,98374
66,98375
65,98387
64,99031
62,99016
62,99027
62,99037
62,99206
62,99212
62,99216
63,99021
63,99036
63,99201
63,99202
63,99203
63,99204
63,99205
63,99206
63,99207
63,99208
63,99216
63,99217
63,99218
63,99223
63,99224
61,99032
60,99173
59,98292
58,98388
57,98648
56,98294
55,98390
54,98944
53,98392
52,98640
51,98402
51,98403
51,98404
51,98405
51,98406
51,98407
51,98408
51,98409
51,98417
51,98418
51,98422
51,98433
51,98443
51,98444
51,98445
51,98446
51,98465
51,98466
50,98587
49,98588
48,99033
47,98589
46,98947
45,98591
44,98855
43,98948
42,98649
41,98650
40,98032
40,98168
40,98178
40,98188
39,98271
38,98501
38,98512
37,98856
36,98651
34,98903
35,98592
33,98466
33,98467
32,91160
31,98593
30,99036
29,98660
29,98661
29,98662
29,98663
29,98664
29,98665
29,98682
29,98683
29,98684
29,98685
29,98686
28,98070
27,98394
26,99037
25,99361
24,99362
23,98951
22,98857
20,98671
19,98858
18,99039
17,98801
16,99353
15,98595
14,98672
13,98396
12,98596
11,98862
9,98052
9,98072
9,98077
7,98674
6,98020
5,98675
4,98901
4,98902
4,98903
4,98908
3,98004
2,98597
1,98953
